rdp	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
Phyllobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	6e-04	0	6e-04	0	4e-04	0	8e-04	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonadaceae	0.0032	0.0103	0.0017	0.0114	0.0022	0.0108	0.0028	0.0073	0.0037	0.005	0.0035	0.0037	0.0065	0.0117	0.0052	0.0088	0.0022	0.007	0.0037	0.0138	0.0066	0.0786	0.0096	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	5e-04	0
Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0.0041	0	0.0011	0	0	0	4e-04	0	0.0297	0	0.0445
Rhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0	0
Rhodanobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141
Rikenellaceae	0.0884	0.1468	0.0118	0.1146	0.0223	0.1068	0.0354	0.0923	0.0274	0.0721	0.0474	0.1256	0.0899	0.066	0.0563	0.1215	0.0399	0.1021	0.0303	0.1186	0.0937	0.1013	0.051	0.1166	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	9e-04	0	2e-04	0	3e-04	0.0021	0.0012	0	0	0.0057	0.0266
Ruminococcaceae	0.0911	0.0344	0.0161	0.0348	0.0086	0.0361	0.0333	0.0143	0.0254	0.0606	0.0256	0.0359	0.044	0.0341	0.0516	0.0278	0.016	0.0438	0.0094	0.0888	0.0373	0.0736	0.0152	0.0531	0.0022	0.0022	1e-04	5e-04	6e-04	4e-04	0	0	0	0.0017	0.0016	5e-04	0	0.004	0	0	0	0.0046	0.0014	8e-04	0	0	0.0131	0.0364
Sphingomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0.0212
Staphylococcaceae	0.0028	3e-04	0	0	0.02	0	2e-04	0	0	0	0.0029	0	9e-04	0	7e-04	0	1e-04	0	0	0	0	5e-04	0.0554	0	0.0042	0.0044	3e-04	0	0.0108	0	0	5e-04	0	0.0016	0.0339	9e-04	0.0432	0.0045	0.0031	0.0011	0	0	0	0.0011	0.5833	0.2281	0	0.0509
Streptococcaceae	0	0	0	1e-04	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	3e-04	3e-04	0	7e-04	0	0	0	8e-04	0	4e-04	0.0019	0	0.0118	0.0039	8e-04	0.0051	0	0	0	0.002	0	0.1239	0	0.0312
Streptophyta	0	0	0	2e-04	0	1e-04	0	0	0	0	0	0	1e-04	0	1e-04	0	0	3e-04	0	0	0	0	0	0	4e-04	0.012	0	0.0026	0	0.0011	0	0	2e-04	0	0.001	5e-04	0.0021	0.003	0.0012	0.0963	0	4e-04	0	0.0048	0	0	0	0
Sutterellaceae	0	2e-04	0.0052	0.001	0.0019	0.0027	0.0019	0.0087	0.0033	0	6e-04	8e-04	6e-04	0.0116	0	6e-04	6e-04	6e-04	0.0029	0	0	0	0.0053	0	0	7e-04	0.0037	1e-04	0	4e-04	4e-04	0.0017	0	0.0021	0	2e-04	0	0.0036	0	0	5e-04	8e-04	1e-04	0.0045	0	0	0	0
Weeksellaceae	0	0	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062
