Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	A1	A3	A5	B2	B4	B6	D1	D3	D5	B1	B3	B5	D8	D10	D12	A8	A10	A12	C2	C4	C6
Compound854	adrenaline	C9 H13 N O3	NA		183.08944	4.428	655384.947575085	403914.058043893	1036922.52273594	18501.3112094241	1139558.84358243	1756017.0331076	288305.29311133	561790.488861808	513829.68865616	728831.757801517	888508.371035173	344085.099464263	554925.444074675	953748.059120759	378208.161847302	40919.1688125538	922945.821245396	1746204.61795548	32354.145668093	838450.556745764	804341.832807944
Compound864	5-Butyl barbituric acid	C8 H12 N2 O3	NA		184.08471	4.38	2018885.04760699	355609.184972138	778105.297438852	36423.6735213503	1528596.88128975	2330559.47261167	397327.320415445	483410.068713076	277407.678856804	1589274.07207479	2275686.15590918	507177.724814971	1553651.74065574	1806553.109187	477936.999132846	168661.525508332	1471077.42333155	1517209.0307229	60458.653836866	1240781.52068996	670107.620306485
Compound865	7,7,8,8-Tetramethyl-6,9-dioxa-1,2-diazaspiro[4.4]non-3-ene	C9 H16 N2 O2	NA		184.12099	4.593	307102.9072086	319435.488023398	120729.710399168	34299.8399721379	489315.567823103	137031.693298357	184418.972341548	334321.504072095	233536.79294765	272629.8169602	279959.745953874	54482.9754632064	692806.376752518	435057.051355383	909703.667046192	368170.489048608	746844.20068649	375237.747097503	42191.5298261894	303406.861793323	317350.813254101
Compound866	apronalide	C9 H16 N2 O2	NA		184.12117	4.848	1623333.28308054	292482.720460548	552807.157017378	49222.0231031812	2231243.63803005	2750563.40897434	236062.858924404	488866.110432934	214396.402411796	649934.628143873	974447.753636059	226784.511616838	171448.392787339	1744526.42452557	426121.444383976	318237.6116715	680426.77973976	1152644.14132494	50963.7828824502	340592.24691831	1286701.060266
Compound867	4-[(E)-Hydrazonomethyl]-2,2,5,5-tetramethyl-2,5-dihydro-1H-imidazol-1-ol	C8 H16 N4 O	NA		184.13231	5.215	22108.1697735358	12455.4362206622	8590.18968614536	97446.0806308365	405058.349470598	85135.2750574494	9413.84964649365	21527.0182814389	8802.01339757623	12477.4696444626	12568.0380374747	18284.5221620089	218880.305624877	10268.7918071625	59499.1462241	59392.3293947226	50346.1550613817	25025.6750629699	146997.98610764	91045.6753853518	35102.7310470048
Compound868	10-Undecenoic acid	C11 H20 O2	NA		184.14617	17.109	723125.36922602	606918.711307938	823615.173999419	246223.369131491	789987.75942166	439506.115183916	385844.673574278	342549.015839677	398849.459659567	399894.39622797	926711.506085861	103041.636096375	234290.91136883	982934.303193044	369795.758155558	1056595.21338849	205907.768617111	1003014.28665458	222370.893741589	347495.047217181	659492.347027021
Compound871	N-[5-(1,2-Dihydroxyethyl)-3-furyl]acetamide	C8 H11 N O4	NA		185.06872	5.135	650228.697278599	777843.185801116	879003.377790017	155955.10704865	5387692.67750738	1403321.93868157	234481.902892952	451820.122711098	240281.375881881	836460.808807808	1018349.35257708	259646.977169761	712491.932938911	1308535.60973069	699366.457193244	390095.262717932	353116.826894681	874424.363207703	292686.449017855	2596959.63535038	2088482.35396816
Compound873	Eglumetad	C8 H11 N O4	NA		185.06877	4.045	850800.857096069	186879.263525234	414878.904355692	50345.6653353381	616020.975816973	193428.728864666	107869.775993487	412839.542299534	115476.299219099	623781.930037609	570942.915534416	282869.782315877	1147482.66174556	514921.481027952	336060.281766626	803137.424074542	759023.26486174	170865.787751898	163034.607064009	128480.934711678	314174.755351962
Compound874	(1-Acetyl-2-pyrrolidinyl)methyl acetate	C9 H15 N O3	NA		185.10511	4.427	2367180.31905196	1460969.61792388	1343665.58248366	38070.4895814825	1434077.58632659	1206473.42832189	915268.085252325	1896783.45501286	1089325.79797401	1669403.30736136	2473941.91206422	1042026.53836451	990923.788184261	1862496.16362835	917441.412159026	85245.3725435589	1104649.73544612	1545793.50994962	51527.2073156739	2243465.83588569	1544841.76129759
Compound875	Methyl 3-hydroxyquinuclidine-2-carboxylate	C9 H15 N O3	NA		185.10519	4.848	132640.688879163	367726.450107796	269513.758532706	117132.952360813	1458177.23999245	670095.797979461	81725.2556609218	344620.658226237	338097.677456979	329535.682399754	531048.194462033	266608.289983047	186424.299273155	277224.34489294	168976.37910277	122757.4119894	275868.650587229	599493.032041384	18451.0944430408	368669.144101464	300325.206266486
