Name	Assigned Name	Formula	Molecular Weight	RT [min]	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C2	C4	C6	D1	D2	D3	D4	D5	D6
Compound1264	2,5-Dipropyltetrahydro[1,3,2]dioxaborolo[3,4]cyclobuta[1,2-d][1,3,2]dioxaborole	C10 H18 B2 O4	224.13938	21.316	142835444.436695	271763413.954745	67395844.3556308	302569076.761615	122562268.342978	382092662.452964	335773454.213243	323049104.405108	440068213.300973	147096393.524558	330222612.841477	204458529.036241	439686705.29772	451220809.770349	550637608.006774	411661306.649426	295789305.401906	173539577.550363	482689173.696484	306734921.059845	278865607.423323
Compound1265	N,N'-Dicyclohexylurea	C13 H24 N2 O	224.18848	18.445	15533677996.2406	18717240570.0583	15256594152.4207	14008247510.7711	9301214938.3253	29458459518.5516	18580926694.5072	26213691154.21	7428394061.83499	12128688991.4435	20275558546.6647	30627501844.4772	19915639814.8311	30554893203.6353	27602595489.5492	21817806671.9829	26920161962.2672	12536494911.1128	17841459585.2562	25059029163.9896	6252905502.16386
Compound1267	3,6-Dipentyl-1,4-dihydro-1,2,4,5-tetrazine	C12 H24 N4	224.19975	14.578	8168087.54604971	21752019.9686971	6039207.3102193	21090670.380614	5588597.80237316	34061603.3418479	17089917.3429591	16930728.2001701	16629215.3733786	10163666.0721409	10027177.7448032	25751332.7030344	6752016.00014611	18768387.4195671	33066288.1305967	25900091.8969073	15680800.2927093	17801304.4108122	33403677.7741554	18138033.2523897	18108118.1900796
Compound1268	1-[3-(2-Hydroxyethyl)octahydro-2(1H)-isoquinolinyl]ethanone	C13 H23 N O2	225.17255	16.605	204050105.815746	161974964.754737	55504216.5429113	211108738.527558	132149496.465746	713001470.312055	121935653.160396	165644371.557963	120200117.351887	54574500.8976501	105769638.682331	118728791.069464	111094963.873271	143515631.220513	156115343.199697	224496546.913049	310517455.828242	189478410.96124	123273576.865975	211713859.248174	199389976.4956
Compound1269	N-[2-(1-Pyrrolidinyl)cyclohexyl]glycinamide	C12 H23 N3 O	225.18384	13.174	36658647.6780934	57022994.7788933	24085327.7371417	31761583.4778714	28564731.1060928	52203958.1115668	35611918.3444578	98131812.4409893	98082571.1973041	41941408.5442063	78017537.7971557	65850431.1408208	21988866.541632	65114749.1320198	45026639.3680003	70436925.4662517	48914397.8219427	49514098.9183581	59081524.890226	115790266.130499	70770380.1289076
Compound1280	nylon cyclic dimer	C12 H22 N2 O2	226.16793	11.468	4685376.2074132	15888656.7495306	3524595.711041	19013404.297368	3032455.6695246	20038730.4887117	4277362.28493283	24945045.9525371	22673294.3426648	10200827.6643942	8999073.95336849	22850094.2495522	12751588.100093	35813235.0144672	22802510.1198766	11385030.4596539	24139614.9234914	14887293.5669081	12820793.5663971	33333012.1726081	22154259.9914215
Compound1282	N-Tosylbutylamine	C11 H17 N O2 S	227.09772	14.729	26150185.2486117	31105694.0664756	18678728.0697156	37091378.7395563	17359265.4754221	54032006.368373	37612416.016472	53979954.642705	28143352.2637828	22432062.7840036	29440546.1081882	50229932.7621894	21565790.8425719	55697494.1041892	59295277.4503482	64700671.5162371	41500451.0450493	25647130.6912699	32111237.6589904	36135560.1563394	34508849.3787932
Compound1283	1642628	C12 H21 N O3	227.1519	11.704	1847495.31844825	46225895.3669699	1751149.68867702	15120738.9242831	1411248.8815341	87062023.481013	1242752.21441495	1534657.77434446	2368087.18594049	1348243.49610149	3609148.85614513	2578904.43882423	50123594.8039783	16269161.4946918	11185065.2823357	3828232.46589139	26822651.1171835	2595232.15274589	2045138.66838504	27272897.1653818	1793923.00303369
Compound1285	Dodecyl isothiocyanate	C13 H25 N S	227.17004	11.431	772108.504617765	12737853.7305769	1092492.09900679	21807642.2407948	722651.959919242	23432383.6847572	726701.817538242	711535.848136134	598529.682022006	979526.06360119	1563201.2211663	1568220.7538379	10244309.7677591	33315921.6625309	17276461.1017894	915471.991258175	17446379.8719862	2220167.1327072	1622167.18933101	17650510.7965385	2752456.47780423
Compound1288	Cyprodenate	C13 H25 N O2	227.18804	27.213	18597569.8365969	3731641.86329956	7399758.52497712	8214870.38137673	2310163.27832159	25021629.6082849	2447977.92342279	4015877.52924331	5825989.75248916	1625427.56540188	1880668.47172658	1077915.50437196	8056993.75266771	2357128.43735733	2512118.67091021	1249337.20097772	8153789.83035429	3345226.14036114	1306166.62116247	5734260.42597446	1887777.90261313
