"",f.value,p.value,-log10(p),FDR,Fisher's LSD
Compound1642,45.517,3.9045e-07,6.4084,3.6147e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound1751,45.375,3.9686e-07,6.4014,3.6147e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound1345,44.595,4.3445e-07,6.3621,3.7637e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound1040,44.34,4.4765e-07,6.3491,3.7637e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound2225,41.64,6.2085e-07,6.207,5.0266e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound2735,40.84,6.8666e-07,6.1633,5.3609e-05,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound855,39.901,7.748e-07,6.1108,5.7514e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound1679,39.758,7.893e-07,6.1028,5.7514e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound1367,38.762,9.0018e-07,6.0457,6.3477e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound2401,38.517,9.3015e-07,6.0314,6.3541e-05,GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
