Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	A7	A9	B8	B10	B12	D7	D9	B7	B9	D8	D10	D12	A8	A10	A12	C8	C10	C12
Compound1379	Pro-tyr	C14 H18 N2 O4	NA	NA	278.12649	4.621	90382.2958911245	77495.2323520854	148226.971622158	121943.434860219	267515.456319457	29880.3400203077	24930.3174259716	41334.8746970168	46511.3057230694	366018.299254483	497465.436136674	148788.59214306	481536.745877163	535222.45653304	149143.199086553	237958.359823655	433704.884201232	206052.216196868
Compound1380	leu-phe	C15 H22 N2 O3; C9 H23 N6 O2 P	NA	NA	278.16296	12.974	5684003.7380852	4429573.20012701	3105986.26079451	7998591.53848738	12297656.868199	1685074.0272921	4852035.5595919	5598780.91140436	2673620.22522755	30061127.4135569	8708776.58348589	7003028.88821469	9575521.46405462	11529383.6266512	9809296.67773991	12437177.6479822	16594476.6243733	18370204.4776588
Compound1381	α-Linolenic acid	C18 H30 O2	NA	NA	278.2241	16.168	3063902.80645599	1252568.62514449	7041504.31549591	1226493.41573285	5922061.50884566	2570593.32699083	2363363.81505476	2017478.17288052	868177.896349571	6360360.61625541	13719029.2658141	314527.361508252	5094597.70146923	5335310.60174073	5096955.4896971	3995019.86881174	3814939.30922734	1428648.44237851
Compound1384	Oleic acid alkyne	C18 H30 O2	NA	NA	278.22444	24.297	217891.370031567	355245.437291111	1889674.73504252	1015435.32718446	1103725.52508173	351231.684546166	201212.252671104	337911.867041533	291069.067310111	304531.896741225	2587785.37043913	45177.5900488281	2176854.14466853	1006343.32909307	1306746.55917806	1502256.6576717	1999018.00611233	1144451.33204701
Compound1389	asn-phe	C13 H17 N3 O4	NA	NA	279.1217	11.52	1028251.83356616	695336.971622202	347785.655344456	709409.250325713	1351449.3846909	564621.985134506	926390.228989744	1465409.78656889	568844.685579922	873267.202006283	1239140.05031986	117324.347094131	1477022.50801395	1305861.79588393	737329.312631391	1289833.4117322	940817.584083769	404648.642072567
Compound1403	α-Aspartylphenylalanine	C13 H16 N2 O5	NA	NA	280.10582	11.707	2783896.9762985	1003746.35824967	357009.762478429	1068427.87790184	453958.890555691	425521.94131	1702942.32206164	2602029.75506715	572226.550072082	1086696.89893047	1136918.59688712	244623.709825348	763300.251180366	580981.717571344	918815.364678475	843334.064311889	973757.785583718	1574356.19335487
Compound1404	Levosimendan	C7 H17 N6 O4 P; C14 H12 N6 O	NA	NA	280.10588	10.658	805868.398197843	719398.675167607	203247.226963848	274040.989006093	212496.812470024	369949.395501429	547471.835527119	1206929.18999582	299915.291313173	672439.448469603	340135.29378498	57717.2428038589	611932.738047811	1121359.46601174	132739.959439208	225395.802261848	244981.87775505	175283.179591661
Compound1406	MFCD02728197	C14 H20 N2 O4; C8 H21 N6 O3 P	NA	NA	280.14221	11.002	1644933.83419135	1600988.93996752	643383.169742659	1666994.29822749	992540.445818321	740720.340477286	1866031.83393987	1669599.04122838	714066.479542844	1181828.84185493	1810263.1629884	478672.160007875	2186943.63958508	1400698.03250554	1659419.20327902	2040302.05623174	2183906.64483141	875809.002181693
Compound1408	NP-011548	C18 H34 O3	NA	NA	280.23955	22.856	6838388.20961714	5607085.82018965	14189532.5058358	3818196.44450861	20969664.4080885	2030469.24861782	4712487.78275364	1121355.60223414	2419766.246746	14583857.4062455	28495986.2442938	227775.332361597	20568102.8075748	9316805.06513094	13590670.0396592	11502969.4320888	19785362.5343801	7607036.39011762
Compound1410	Linoleic acid	C18 H32 O2	NA	NA	280.24024	25.392	6293667.80421212	4848845.45121612	20142342.5028956	11487376.7538856	11340865.608108	3304261.51383687	3724378.11714922	5193444.36125736	2968930.19743386	14627660.9130485	21539798.1648812	2389267.76225676	18237117.0060214	12667539.7125786	12877810.8490514	15817937.9323348	14535435.8714488	12026783.3938943
Compound1411	9(Z),11(E)-Conjugated linoleic acid	C18 H32 O2	NA	NA	280.24031	25.961	403333.734581012	1140292.43613763	5519590.42360874	1722199.28680299	3285250.51798021	902062.418774515	637667.318988279	1137543.41465489	570949.594307163	1568237.60059525	5179438.05736071	474518.277230894	5483622.3484721	2804255.04498695	1652761.39199074	3208368.62548082	3156788.13129802	1670975.16727772
Compound1418	Sphingosine (d18:1)	C18 H37 N O2	NA	NA	281.27136	18.947	10660133.0513245	4924687.26077855	24307673.4076085	2769375.27816532	10120368.5129254	823120.085876277	3847885.06500554	5379326.06036728	791052.442282769	60948335.1353728	4360463.4377834	10949318.5990799	16207472.2658892	41051943.7267378	4257435.2889934	2237873.51527207	2932020.97117909	2401163.62559068
Compound1423	Oleic acid	C18 H34 O2	NA	NA	282.25597	26.85	2469743.82619601	2095822.78188514	11896174.0615286	4467985.07040301	4926096.00004898	1686560.77066225	1192497.46660584	1870152.34879592	1125304.60264095	5980697.33054186	8892052.87970385	1145453.67177175	8036093.11055037	5004343.82700071	4874788.13123597	7943668.80836198	5513947.21282718	3845159.89255591
Compound1426	Guanosine	C10 H13 N5 O5	NA	NA	283.09172	10.184	156862.260379488	871401.200961401	55920.8338261229	37240.6361686115	21755.462351703	524554.767610918	213159.73221032	341261.034740256	277781.367018035	395356.995683916	246474.037307788	254098.265661869	290509.976855378	428865.234467644	306739.523608097	227872.411760281	211958.246745361	36669.2646420404
Compound1428	Bemitradine	C15 H17 N5 O	NA	NA	283.1442	23.9	216142.48772129	39305.8337585359	162221.268387842	608561.275213125	817151.220747444	22459.3438744402	80206.1815830312	33393.5266413415	79954.9696372503	3155138.21791608	57883.4721589159	3836828.89354578	290946.959632386	440794.203716344	385629.053301166	86884.9099091507	38603.3315881101	566585.918330701
Compound1431	N,N-dimethyl-N'-(3-phenyl[1,2,4]triazolo[4,3-b]pyridazin-6-yl)iminoformamide	C14 H14 N6	NA	NA	283.15297	4.131	287880.592607518	214570.674796499	1250223.02454301	884097.828498128	451519.642127546	130476.233775753	147874.936838615	179460.860458759	96160.1178767092	467667.010159094	561873.054398886	191084.605556285	970593.653312491	1921569.97418111	655858.817514631	678158.618043247	1968137.573478	961306.151588951
