"",f.value,p.value,-log10(p),FDR,Fisher's LSD
Compound2459,6.7921,0.0015523,2.809,0.0085428,GenX_100mg - GenX_10mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
Compound4274,6.7892,0.0015554,2.8082,0.0085428,GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound997,6.7817,0.0015637,2.8059,0.0085693,GenX_100mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_C - GenX_20mg; PFOS_C - PFOS_10mg
Compound21,6.7738,0.0015724,2.8034,0.0085985,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound3259,6.7639,0.0015834,2.8004,0.0086397,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound3341,6.7538,0.0015948,2.7973,0.0086825,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound2035,6.7479,0.0016014,2.7955,0.0086997,GenX_20mg - GenX_100mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C
Compound994,6.7438,0.001606,2.7942,0.008706,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound4227,6.7222,0.0016309,2.7876,0.0088217,PFOS_C - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound4198,6.7126,0.001642,2.7846,0.0088626,PFOS_5mg - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound2061,6.698,0.001659,2.7801,0.0089122,PFOS_5mg - GenX_10mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg
Compound810,6.6971,0.0016602,2.7798,0.0089122,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound4120,6.6944,0.0016633,2.779,0.0089122,PFOS_5mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_20mg
Compound3599,6.6926,0.0016655,2.7785,0.0089122,PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound32,6.6722,0.0016899,2.7721,0.0090081,GenX_100mg - GenX_20mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound2148,6.6692,0.0016935,2.7712,0.0090081,PFOS_10mg - GenX_20mg; PFOS_10mg - PFOS_C; PFOS_20mg - PFOS_C; PFOS_5mg - PFOS_C
Compound1687,6.6678,0.0016952,2.7708,0.0090081,GenX_100mg - GenX_10mg; GenX_100mg - GenX_20mg; PFOS_20mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_20mg - GenX_20mg
Compound3272,6.6656,0.0016978,2.7701,0.0090081,GenX_100mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_20mg - PFOS_10mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound2260,6.6611,0.0017033,2.7687,0.0090181,PFOS_5mg - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
