"",f.value,p.value,-log10(p),FDR,Fisher's LSD
Compound1303,13.457,4.201e-05,4.3767,0.0013123,GenX_10mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound2560,13.381,4.3389e-05,4.3626,0.0013386,GenX_100mg - GenX_10mg; PFOS_10mg - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C
Compound2106,13.296,4.4996e-05,4.3468,0.0013696,GenX_100mg - GenX_20mg; GenX_100mg - PFOS_10mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound2758,13.27,4.5489e-05,4.3421,0.0013696,PFOS_10mg - GenX_100mg; GenX_100mg - PFOS_C; PFOS_10mg - GenX_10mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_5mg; PFOS_10mg - PFOS_C; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C
Compound4040,13.203,4.6828e-05,4.3295,0.0013865,GenX_100mg - GenX_20mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_C
Compound1140,13.187,4.7159e-05,4.3264,0.0013865,PFOS_20mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_20mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_20mg - PFOS_10mg
Compound4003,13.103,4.8889e-05,4.3108,0.0014206,GenX_100mg - GenX_20mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_C
Compound941,12.969,5.1843e-05,4.2853,0.0014891,GenX_100mg - GenX_20mg; GenX_100mg - PFOS_5mg; GenX_100mg - PFOS_C; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_10mg - PFOS_5mg; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C
Compound136,12.906,5.3294e-05,4.2733,0.0015091,GenX_100mg - GenX_10mg; GenX_100mg - GenX_20mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_5mg - PFOS_20mg
Compound189,12.886,5.3745e-05,4.2697,0.0015091,GenX_100mg - GenX_20mg; GenX_10mg - GenX_20mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound4039,12.85,5.4614e-05,4.2627,0.0015165,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_C
Compound1719,12.776,5.6425e-05,4.2485,0.0015495,GenX_10mg - GenX_100mg; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_C; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound1176,12.746,5.7191e-05,4.2427,0.0015535,GenX_10mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_20mg
Compound1448,12.694,5.8532e-05,4.2326,0.0015587,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound2568,12.69,5.8632e-05,4.2319,0.0015587,GenX_100mg - GenX_10mg; GenX_100mg - PFOS_C; PFOS_20mg - GenX_10mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_C; PFOS_10mg - PFOS_C; PFOS_20mg - PFOS_C; PFOS_5mg - PFOS_C
Compound1585,12.573,6.1763e-05,4.2093,0.0016247,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound1919,12.497,6.3903e-05,4.1945,0.0016635,PFOS_5mg - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_20mg - PFOS_10mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound2508,12.381,6.7372e-05,4.1715,0.0017357,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound1354,12.309,6.9604e-05,4.1574,0.0017749,GenX_100mg - GenX_20mg; PFOS_5mg - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound1898,12.261,7.1128e-05,4.148,0.0017954,GenX_10mg - GenX_100mg; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C
Compound1039,12.175,7.4021e-05,4.1306,0.0018498,GenX_100mg - PFOS_10mg; PFOS_C - GenX_100mg; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_C - PFOS_20mg
Compound1873,12.116,7.6045e-05,4.1189,0.0018806,GenX_100mg - GenX_10mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
Compound2208,12.08,7.7324e-05,4.1117,0.0018806,GenX_100mg - GenX_10mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_C - GenX_20mg; PFOS_C - PFOS_10mg; PFOS_C - PFOS_5mg
Compound2887,12.075,7.751e-05,4.1106,0.0018806,GenX_100mg - GenX_10mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound1951,12.008,7.9932e-05,4.0973,0.0019116,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg
Compound3352,11.998,8.0321e-05,4.0952,0.0019116,GenX_100mg - GenX_10mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg
Compound3470,11.959,8.1775e-05,4.0874,0.0019279,GenX_100mg - PFOS_20mg; GenX_10mg - PFOS_20mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; GenX_20mg - PFOS_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound1494,11.897,8.4213e-05,4.0746,0.0019663,GenX_20mg - GenX_100mg; GenX_100mg - PFOS_C; GenX_20mg - GenX_10mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C; PFOS_10mg - PFOS_5mg; PFOS_10mg - PFOS_C; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C
Compound2965,11.877,8.4979e-05,4.0707,0.0019663,GenX_100mg - PFOS_C; GenX_20mg - GenX_10mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_10mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C; PFOS_10mg - PFOS_C; PFOS_20mg - PFOS_C; PFOS_5mg - PFOS_C
Compound3741,11.837,8.6585e-05,4.0626,0.0019851,PFOS_C - GenX_100mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_C - PFOS_20mg
Compound1947,11.803,8.7999e-05,4.0555,0.0019992,GenX_10mg - GenX_100mg; PFOS_20mg - GenX_100mg; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_10mg - PFOS_5mg; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C
Compound279,11.739,9.0697e-05,4.0424,0.0020419,GenX_100mg - PFOS_10mg; GenX_10mg - PFOS_10mg; GenX_20mg - PFOS_10mg; PFOS_C - GenX_20mg; PFOS_20mg - PFOS_10mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_C - PFOS_20mg; PFOS_C - PFOS_5mg
Compound376,11.617,9.6105e-05,4.0173,0.0021443,GenX_100mg - GenX_20mg; GenX_10mg - GenX_20mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound1586,11.569,9.8367e-05,4.0072,0.0021577,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound2307,11.567,9.8428e-05,4.0069,0.0021577,GenX_10mg - GenX_100mg; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_5mg; PFOS_10mg - PFOS_5mg; PFOS_10mg - PFOS_C
Compound4337,11.455,0.0001039,3.9834,0.0022354,GenX_100mg - GenX_10mg; GenX_100mg - GenX_20mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_20mg - PFOS_C
Compound4276,11.442,0.00010456,3.9806,0.0022354,GenX_100mg - PFOS_C; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C; PFOS_10mg - PFOS_5mg; PFOS_10mg - PFOS_C; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C
Compound234,11.44,0.00010466,3.9802,0.0022354,PFOS_5mg - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_5mg - PFOS_20mg
Compound555,11.418,0.00010578,3.9756,0.0022381,GenX_100mg - GenX_10mg; GenX_100mg - GenX_20mg; GenX_100mg - PFOS_10mg; GenX_100mg - PFOS_5mg; PFOS_20mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_20mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_20mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_C - PFOS_5mg
Compound3915,11.366,0.00010845,3.9648,0.0022381,PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_20mg - PFOS_10mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound3031,11.365,0.00010849,3.9646,0.0022381,PFOS_5mg - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_20mg - PFOS_C; PFOS_5mg - PFOS_C
Compound2798,11.343,0.00010969,3.9598,0.0022381,GenX_100mg - GenX_10mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - PFOS_20mg
Compound1195,11.341,0.00010978,3.9595,0.0022381,GenX_100mg - GenX_20mg; GenX_100mg - PFOS_10mg; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; GenX_10mg - PFOS_C; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_10mg
Compound426,11.334,0.00011016,3.958,0.0022381,GenX_100mg - GenX_20mg; PFOS_C - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_C - PFOS_10mg
Compound2705,11.263,0.00011402,3.943,0.0022979,PFOS_5mg - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound2961,11.244,0.00011509,3.939,0.0023008,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg
Compound3641,11.212,0.00011691,3.9321,0.0023009,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound4231,11.212,0.00011693,3.9321,0.0023009,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg
Compound7,11.152,0.0001204,3.9194,0.002339,PFOS_10mg - GenX_100mg; PFOS_20mg - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound504,11.147,0.00012074,3.9181,0.002339,GenX_100mg - GenX_20mg; GenX_100mg - PFOS_C; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_C; PFOS_10mg - GenX_20mg; PFOS_10mg - PFOS_C; PFOS_20mg - PFOS_C; PFOS_5mg - PFOS_C
Compound4174,11.123,0.00012218,3.913,0.0023487,GenX_100mg - GenX_10mg; PFOS_C - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_C - GenX_20mg; PFOS_C - PFOS_10mg; PFOS_C - PFOS_20mg
Compound1445,11.088,0.00012432,3.9055,0.0023547,GenX_100mg - GenX_20mg; PFOS_5mg - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound3084,11.087,0.00012438,3.9052,0.0023547,GenX_100mg - PFOS_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_20mg - PFOS_10mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound1584,11.032,0.00012777,3.8936,0.0023865,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound88,11.029,0.00012797,3.8929,0.0023865,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_C - GenX_10mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound4162,10.995,0.00013015,3.8856,0.0024091,PFOS_C - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound291,10.973,0.00013159,3.8808,0.0024179,GenX_100mg - GenX_10mg; GenX_100mg - GenX_20mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg
Compound1847,10.93,0.00013447,3.8714,0.0024387,GenX_100mg - GenX_20mg; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_C; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound2311,10.927,0.00013467,3.8707,0.0024387,GenX_100mg - PFOS_5mg; GenX_10mg - PFOS_5mg; GenX_20mg - PFOS_5mg; PFOS_10mg - PFOS_5mg; PFOS_20mg - PFOS_5mg; PFOS_C - PFOS_5mg
Compound3689,10.873,0.00013834,3.859,0.0024462,GenX_100mg - PFOS_20mg; GenX_10mg - PFOS_20mg; GenX_20mg - PFOS_20mg; GenX_20mg - PFOS_C; PFOS_10mg - PFOS_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound1429,10.862,0.0001391,3.8567,0.0024462,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound1892,10.853,0.00013973,3.8547,0.0024462,GenX_100mg - GenX_10mg; GenX_100mg - GenX_20mg; GenX_100mg - PFOS_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_20mg - PFOS_10mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound509,10.849,0.00014001,3.8538,0.0024462,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound1611,10.849,0.00014005,3.8537,0.0024462,GenX_100mg - GenX_20mg; GenX_10mg - GenX_20mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound2721,10.836,0.00014096,3.8509,0.0024462,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound2895,10.793,0.00014403,3.8415,0.0024729,GenX_100mg - PFOS_20mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound1766,10.787,0.00014448,3.8402,0.0024729,GenX_100mg - GenX_10mg; GenX_100mg - PFOS_C; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_10mg - PFOS_C; PFOS_5mg - PFOS_C
Compound1190,10.757,0.00014669,3.8336,0.0024938,GenX_10mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_20mg
Compound2209,10.736,0.00014825,3.829,0.0025033,PFOS_C - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound2604,10.693,0.00015157,3.8194,0.0025421,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; GenX_20mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound4304,10.649,0.000155,3.8097,0.0025492,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_20mg - PFOS_10mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound3510,10.649,0.00015502,3.8096,0.0025492,PFOS_5mg - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound177,10.648,0.00015505,3.8095,0.0025492,GenX_100mg - GenX_20mg; GenX_100mg - PFOS_10mg; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_10mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound791,10.606,0.0001584,3.8003,0.0025871,PFOS_C - GenX_100mg; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_C - PFOS_20mg
Compound2060,10.501,0.00016724,3.7767,0.0026999,PFOS_C - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_C - PFOS_20mg
Compound3881,10.498,0.00016746,3.7761,0.0026999,GenX_100mg - GenX_20mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound535,10.481,0.00016893,3.7723,0.0027062,GenX_100mg - GenX_20mg; PFOS_20mg - GenX_100mg; GenX_10mg - GenX_20mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
Compound768,10.444,0.0001722,3.764,0.0027409,GenX_100mg - GenX_10mg; PFOS_20mg - GenX_100mg; GenX_20mg - GenX_10mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_20mg - PFOS_10mg
Compound3506,10.431,0.00017342,3.7609,0.0027429,PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg
Compound527,10.402,0.00017602,3.7544,0.0027664,GenX_100mg - PFOS_10mg; GenX_10mg - GenX_20mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_20mg; PFOS_C - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_C - PFOS_20mg
