"",f.value,p.value,-log10(p),FDR,Fisher's LSD
Compound3129,15.873,1.612e-05,4.7926,0.0011848,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound4194,15.629,1.7659e-05,4.753,0.0012235,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_20mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound4256,15.617,1.7736e-05,4.7512,0.0012235,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound103,15.561,1.8115e-05,4.742,0.0012235,PFOS_5mg - GenX_100mg; PFOS_5mg - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_5mg - PFOS_10mg; PFOS_5mg - PFOS_20mg; PFOS_5mg - PFOS_C
Compound1598,15.004,2.2415e-05,4.6495,0.0014653,GenX_100mg - PFOS_10mg; PFOS_20mg - GenX_100mg; GenX_100mg - PFOS_5mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_5mg; PFOS_20mg - GenX_20mg; GenX_20mg - PFOS_5mg; PFOS_C - GenX_20mg; PFOS_20mg - PFOS_10mg; PFOS_C - PFOS_10mg; PFOS_20mg - PFOS_5mg; PFOS_C - PFOS_5mg
Compound4530,14.953,2.2867e-05,4.6408,0.0014653,GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_5mg - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg; PFOS_C - PFOS_20mg
Compound1438,14.756,2.4697e-05,4.6073,0.001543,GenX_10mg - GenX_100mg; GenX_20mg - GenX_100mg; PFOS_10mg - GenX_100mg; PFOS_20mg - GenX_100mg; GenX_10mg - PFOS_10mg; GenX_10mg - PFOS_5mg; GenX_10mg - PFOS_C; GenX_20mg - PFOS_5mg; GenX_20mg - PFOS_C; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C
Compound4855,14.534,2.6973e-05,4.5691,0.001644,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg; PFOS_10mg - PFOS_20mg; PFOS_5mg - PFOS_20mg
Compound2965,14.399,2.8469e-05,4.5456,0.0016939,PFOS_20mg - GenX_100mg; PFOS_20mg - GenX_10mg; PFOS_20mg - GenX_20mg; PFOS_20mg - PFOS_10mg; PFOS_20mg - PFOS_5mg; PFOS_20mg - PFOS_C
Compound4695,14.246,3.0279e-05,4.5189,0.0017597,PFOS_10mg - GenX_100mg; PFOS_5mg - GenX_100mg; PFOS_C - GenX_100mg; PFOS_10mg - GenX_10mg; PFOS_20mg - GenX_10mg; PFOS_5mg - GenX_10mg; PFOS_C - GenX_10mg; PFOS_10mg - GenX_20mg; PFOS_20mg - GenX_20mg; PFOS_5mg - GenX_20mg; PFOS_C - GenX_20mg
