pathway	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
PWY-5154	3243.9611	4460.0474	4451.853	4363.7522	7745.6695	4935.1255	6848.314	4814.9074	7040.6798	4037.7022	2767.9312	4050.5501	3868.045	5048.2025	3509.3646	3744.8062	2709.7724	3681.3339	6490.7637	3847.2386	5817.3946	5782.1918	3971.2662	4845.8711	4432.4307	1502.024	6185.1481	1156.9669	6236.2738	454.9586	8783.994	1397.6453	8941.2021	1467.2751	265.6422	1265.6643	203.9241	557.3137	50.282	1689.728	441.6093	997.2152	12193.6992	912.891	206.2156	3926.6042	8601.051	4533.5924
PWY-5177	256.0479	105.369	201.2309	126.3104	116.538	83.8993	416.7527	45.6774	436.7959	97.4164	86.0951	97.9414	75.212	58.0846	175.5584	38.5657	21.1282	132.7863	119.7204	275.4885	372.6954	236.8249	316.3839	218.3715	9.9848	5.9623	0.0	9.9713	13.9757	0.0	0.0	12.0946	0.0	5.9662	38.0971	0.0	0.0	5.9756	0.0	0.0	0.0	12.0665	21.9808	96.4692	0.0	0.0	212.2475	751.0626
PWY-5178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9332	4.5092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4563	0.0	0.0	2.5431	0.0	0.0	22.1975	0.0	0.0	0.0	0.0	0.0	23.5426	0.0	396.0737	0.0	859.4779
PWY-5180	199.6264	78.9377	532.0224	69.727	518.3103	0.0	1302.4166	0.0	1280.6694	77.6696	53.4046	0.0	67.0374	50.8374	174.1697	0.0	19.6572	0.0	405.5711	0.0	1062.6531	171.0195	706.3427	0.0	134.1979	52.2654	6.1967	41.6122	0.0	7.725	0.0	22.314	6.7979	17.1713	183.0897	14.5391	66.1918	218.3457	5.7664	312.4302	0.0	0.0	50.9503	63.2703	0.0	2015.4225	569.4315	1875.5232
PWY-5181	0.0	0.0	0.0	3.3842	0.0	1.479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5872	0.0	0.0	0.0	0.0	86.7123	0.0	375.6103	0.0	3.5953	0.0	1.3486	0.0	0.0	1.8151	0.0	4.9137	54.4897	0.0	80.2719	0.0	0.0	0.0	43.4655	0.0	5496.413	0.0	1188.5205
PWY-5182	199.6264	78.9377	532.0224	69.727	518.3103	0.0	1302.4166	0.0	1280.6694	77.6696	53.4046	0.0	67.0374	50.8374	174.1697	0.0	19.6572	0.0	405.5711	0.0	1062.6531	171.0195	706.3427	0.0	134.1979	52.2654	6.1967	41.6122	0.0	7.725	0.0	22.314	6.7979	17.1713	183.0897	14.5391	66.1918	218.3457	5.7664	312.4302	0.0	0.0	50.9503	63.2703	0.0	2015.4225	569.4315	1875.5232
PWY-5183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.4303	0.0	0.0
PWY-5188	3938.2664	2848.4184	3005.6382	2783.5446	4676.9349	2782.5802	4714.7601	1900.9138	4770.8105	4246.4956	2564.9751	4100.8445	2781.5475	2278.2494	1964.5507	2215.8934	1890.9024	3337.2246	3725.1597	3455.8129	3696.6073	2793.7687	4490.7919	3216.2834	2795.4753	798.4399	3107.1497	761.2395	3387.8023	235.5315	6868.9597	169.8063	7265.2723	753.6243	654.9518	215.7138	367.0007	504.472	50.2866	1343.9617	322.3764	536.2467	10394.0895	530.238	8988.1834	5618.0806	6882.6776	2382.4549
PWY-5189	3624.2328	2620.2541	2531.8234	2619.7482	4055.9654	2578.3801	4546.4471	1716.7889	4585.2222	3750.9254	2282.6045	3837.3648	2563.2096	2048.256	1721.2961	1959.4693	1670.846	3081.1553	3205.5459	3251.7038	3399.6636	2486.3465	4317.8544	2991.222	2531.4363	645.2197	2514.2997	623.8834	2801.6696	186.5292	6530.8575	118.5912	6919.309	533.0871	553.102	157.6999	310.8779	456.1043	40.58	1320.3857	235.3187	411.7775	9942.9711	412.5747	8386.8522	5661.0786	6749.8503	2354.3927
PWY-5198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3529	0.0	32.4149	0.0	0.0	46.6112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5265	315.1936	29.1637	15.8023	62.9404	672.3864	58.974	100.0205	84.3122	92.623	32.232	274.5897	5.5351	234.5591	0.0	99.209	117.108	221.3264	42.3821	0.0	0.0	74.1147	61.5779	2898.5666	0.0	727.0445	546.8812	17.0103	181.6573	437.1062	0.0	0.0	323.3076	0.0	239.0691	2613.9236	116.7847	3229.991	1463.1794	733.6745	763.5119	147.004	81.1652	0.0	161.5999	4280.023	4355.3043	0.0	2408.9983
PWY-5304	211.83	370.5	2203.0	373.0	5574.0	420.5	4275.5	266.0	4387.0	160.5	140.67	163.0	207.5	380.5	172.83	297.0	135.34	229.5	3847.0	480.0	2219.5	2414.67	835.5	2544.5	4024.0	14.67	4271.0	91.0	4709.33	2.0	11326.0	1.67	12082.0	523.33	120.99	3.0	149.0	15.0	10.33	3.67	4.0	10.0	15549.0	23.66	5617.67	760.34	7238.0	169.67
PWY-5345	1087.9057	825.3615	2387.5839	890.366	4742.6847	1180.2131	4188.8263	1062.2584	4421.7663	579.0006	609.7456	911.7251	512.5719	1579.4764	1068.9865	507.5133	565.3699	796.4276	3661.7818	1673.0106	2830.8723	1727.5125	834.307	2721.6476	3020.9697	419.6813	3631.6878	820.3678	3796.6169	46.2835	6988.4608	25.4957	7215.9558	540.7612	246.9003	42.5635	244.8858	465.1607	32.8015	985.0239	16.4147	18.7872	9880.2183	290.5341	2159.8806	5726.3837	5664.4053	3518.9274
PWY-5347	1613.9533	1521.3531	6257.6709	1649.6289	7991.3392	2271.2894	5910.2629	3340.1069	6173.6911	2927.9101	2556.9471	2335.6098	4917.2969	2238.2189	5152.2124	3717.5216	3813.4167	1864.074	6626.1778	3733.9982	4474.3702	2452.7207	4558.8859	2573.9499	4347.1479	1229.7998	7705.9851	2670.7277	6948.7524	3452.6259	8136.5473	348.1472	8240.1254	2681.6167	908.0608	4990.0828	1057.1175	782.1204	139.6589	1976.6092	3398.1469	4432.7711	11626.9759	7857.7701	7852.5989	4888.8938	7629.4107	4415.2411
PWY-5384	2895.8029	1582.6248	4819.6172	1532.1989	4443.8971	1438.7295	957.1594	481.1229	1181.2612	797.2147	1471.4286	1993.5762	3033.6711	875.9126	3565.0582	2572.0601	2839.8194	1177.2881	4246.1104	1973.0169	1939.1635	780.5302	2790.352	987.4805	198.9773	1015.7629	5435.0948	2070.9651	4583.6389	3675.9084	612.3955	690.0993	818.609	2667.7989	2091.8213	5152.1882	1456.3237	709.2504	2137.9452	2050.6309	4095.1781	3955.2881	1628.1695	7646.7788	2287.8593	2130.4435	1680.1321	1105.9657
PWY-5415	115.3926	2.4682	58.7335	2.4639	43.4315	0.0	51.7899	0.0	56.3498	4.8712	27.1089	0.0	17.8191	20.8142	5.7451	0.0	2.377	0.0	19.5971	0.0	111.5868	4.1329	92.9295	0.0	23.2409	38.8669	0.246	26.7553	0.0	4.4731	0.0	2.7661	5.2867	6.3764	84.4238	5.5666	51.8806	153.2152	4.935	184.599	0.0	0.0	1.7262	32.1095	0.0	1253.4387	0.25	1694.3378
