pathway	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
PWY-621	7628.5485	8121.6865	8260.1037	7229.3332	7420.8499	7037.5131	6174.0997	8050.3896	6495.2261	7321.8446	9632.6127	8867.8412	7948.1703	5814.2439	7535.5494	6649.899	9505.0825	8258.6618	7609.235	6771.9926	8643.8788	6046.7166	11975.9146	4563.9312	3356.2013	8123.5763	7605.5953	7878.5982	7466.836	6322.5785	3436.1298	6519.0109	4378.6956	8797.9403	7264.0382	7612.7805	8678.2272	8351.3412	6474.564	7051.2771	9045.7575	9071.4979	6048.2591	8876.8018	12540.8867	5858.8249	7585.9334	9938.0036
PWY-6263	1586.264	2353.6146	354.6167	2243.9053	600.687	2205.4907	979.9298	1905.1116	820.4298	1485.4091	1017.8221	2163.5746	1713.5843	1549.671	1302.9997	2247.9701	957.0829	1956.1155	827.4062	2027.2729	2032.7836	2198.0254	1306.3902	2334.9972	2.9962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5994	0.0	14.3527	96.5716	0.0	11.9417	0.0	8.9655	58.8451	35.3648	0.0	0.0	166.5149	782.0723
PWY-6269	5090.2546	3488.6674	1319.8967	3429.3773	1049.9985	2810.367	2317.4089	2065.6277	2354.9769	4164.952	2657.4997	4168.3202	3047.263	2653.6885	2664.0869	2387.1827	1803.1294	2788.532	1152.2884	3743.59	2717.9576	3757.2192	3711.02	3428.2682	273.284	653.339	27.3675	530.335	117.9409	175.0585	29.9103	153.9961	13.4232	226.1491	351.3159	135.0728	68.4992	417.6681	5.135	471.0356	277.4618	613.2709	1042.7151	415.8806	2772.1361	3501.7571	2744.0169	2238.5896
PWY-6277	8661.9558	9042.6647	7285.837	7913.5849	8621.294	7466.3762	7859.1678	7979.1722	8068.0043	7814.2223	9498.6805	8244.0381	8743.1076	7437.3045	7777.1213	7108.7718	8094.8447	7727.0973	7623.569	7864.1572	8437.764	9245.9206	9169.5407	7960.0246	5324.091	6968.4267	7366.2438	4143.4549	6766.1895	3468.4208	7784.7695	4336.8753	7636.3299	4104.9682	3260.7363	5628.1313	6263.0059	1554.9297	3392.3719	2708.4079	5910.637	7980.4184	10895.1963	7968.0837	10351.7891	8492.4446	9279.5774	9550.3819
PWY-6282	234.2786	787.3451	131.9111	644.1605	59.4698	984.103	239.9094	574.857	317.9697	273.0872	501.3059	513.5927	495.3891	728.176	496.6257	603.7575	36.3078	377.186	204.9369	742.3327	647.8469	628.5066	453.3781	1042.5326	59.6935	387.615	0.3	1426.7906	0.0	28.2358	0.0	19.4766	19.1797	23.8919	116.7738	31.7865	92.2932	517.9239	9.3804	752.4491	0.0	6.2953	2.0998	197.2494	0.0	8981.6393	3.7193	4357.674
PWY-6317	7665.87	7620.1654	10503.6714	7669.673	10297.7029	7497.8341	9051.9943	7084.4441	9385.0231	7168.8091	8333.2877	8593.2637	8639.7522	6107.5936	9107.078	7804.55	9238.9906	8117.2887	10085.1227	7306.6447	9021.329	6546.4367	7608.1593	5063.4655	4519.7245	7134.0275	11147.0726	8794.2555	10803.525	7442.5955	8131.3725	6634.5663	8354.8984	10019.1935	7455.9441	9131.5044	7062.0354	8943.3357	6069.7028	7911.2908	9618.6087	8844.9005	5898.9318	10410.156	4018.3904	4565.5669	8909.7448	7949.9876
PWY-6338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0062	0.0	0.0	0.0	0.0
PWY-6339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0532	0.0	0.0	0.0	0.0
PWY-6353	2806.1068	3807.0527	1731.4958	4174.7084	2675.2529	2286.4387	1981.9796	2965.2116	2628.6404	3519.2331	2759.2938	3209.74	3288.3883	2212.2927	3324.6757	1814.3278	2083.567	2587.6013	2433.2288	3644.7685	3986.9408	3448.37	4828.6005	3537.4659	330.5478	1315.1628	39.1801	976.0091	280.2699	112.364	0.0	825.522	49.6661	826.7532	968.7853	199.2272	370.6715	885.1705	40.6789	1985.0356	293.2155	192.129	2867.6414	786.7059	3131.6643	6759.6755	3851.9705	4402.8994
PWY-6383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.998	3.9987	0.0	0.0	0.0	0.0	7.9963	0.0	0.0	0.0	3.9988	0.0	166.0081	0.0	29.9256	77.5734	0.0	0.0	0.0	0.0	5.9952	0.0	0.0	5.9973
PWY-6385	8106.8445	8311.1151	9952.3757	8183.8987	10896.6433	7917.1603	9466.1523	7403.3161	9649.3646	7595.732	8516.6437	8536.9533	8271.5283	7003.5567	8424.9723	7769.9341	8856.2702	8289.6009	9826.8625	7428.4995	9353.081	8174.6971	8520.0038	6802.95	6612.9125	7709.7361	11341.351	8811.7055	11359.6283	7334.9389	12300.4515	6885.8918	13496.7034	9626.3057	7929.9527	8133.3433	8092.7297	8820.1081	7131.427	8354.9653	9404.6727	8652.0176	13840.1475	9097.9567	8208.9163	8452.6679	11015.7039	9156.3512
PWY-6386	8230.2582	8344.3219	9764.5565	8212.6381	10603.1254	7914.901	9344.6899	7418.6687	9551.6772	7691.8048	8489.3144	8595.0072	8341.5744	7020.3967	8412.6539	7744.1242	8756.939	8316.3723	9658.4786	7476.3227	9271.8745	8293.1669	8655.8721	6785.5524	6511.9826	7588.1133	10848.7929	8549.3248	10821.4783	7156.0256	11584.7527	6716.746	12642.1689	9296.5225	7732.1641	7955.5823	7952.4745	8470.2085	6982.5784	8035.8813	9176.4045	8530.1588	13325.5749	9005.4048	10226.2939	8749.4716	10722.4421	9074.6934
PWY-6387	8239.2486	8494.5962	9947.8353	8320.4519	10610.8807	8034.1695	9364.1147	7579.9759	9578.4329	7802.7894	8720.942	8701.1972	8406.4436	7095.9562	8580.1715	7887.7418	9044.7521	8434.4435	9753.0146	7653.462	9408.5643	8323.6168	8684.872	6930.4384	6467.1684	7919.4308	11046.2073	8984.6442	11050.229	7433.7707	11536.9305	7047.1067	12663.8843	9764.8554	8105.1857	8226.5141	8302.7934	8971.3862	7304.5222	8528.9849	9590.0691	8819.397	12842.7319	9157.5549	10051.9159	8839.1042	10594.1175	9433.5859
PWY-6396	59.7822	422.9214	543.1594	291.5254	989.0244	194.521	1068.3344	84.5062	947.0184	61.7335	142.8004	53.8697	71.5102	66.7918	510.7396	133.3018	55.2852	190.8929	1040.1329	0.0	1503.667	75.2549	918.1175	15.0482	1367.7148	205.5793	963.808	733.9958	1528.8687	15.785	1682.8196	7.9828	2226.8336	770.0442	47.6649	9.9262	409.6912	102.3589	59.4914	366.2219	7.9892	0.0	748.1124	110.2056	1419.5004	4148.0671	1836.5191	0.0
PWY-6397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	0.0	0.0	3.4212
PWY-6467	1617.93	2513.2	643.67	2728.44	627.21	3347.21	1340.1	3153.21	1442.82	1884.52	1268.08	2120.22	2141.72	3733.74	1823.62	2227.29	1296.15	2129.01	1167.84	2181.11	2161.78	4273.22	2345.27	4008.54	331.0	647.67	127.02	717.7	87.0	187.83	317.75	964.67	3.4	252.25	63.0	565.2	31.0	263.59	3.13	264.47	171.5	438.1	55.45	391.79	54.25	3660.42	119.67	1445.83
PWY-6470	87.2438	9.5841	0.0	9.583	638.2206	0.0	19.1524	0.0	0.0	0.0	91.7221	0.0	75.7262	0.0	22.2875	0.0	9.5888	0.0	0.0	0.0	0.0	15.9225	2473.6267	0.0	169.2868	165.9806	9.591	66.6993	364.6205	0.0	0.0	91.5919	0.0	88.7646	1193.9909	28.6929	1967.1365	634.278	171.7824	493.8197	0.0	0.0	0.0	219.9142	2409.7392	2867.7831	0.0	3037.105
PWY-6471	2885.0319	5239.2673	7970.9645	4898.9896	7493.6501	4776.2488	7042.0873	3783.7465	6934.6268	3723.14	7086.3275	5122.8595	4829.1612	2799.2725	5614.1286	5317.4651	7599.2066	5674.5431	7398.3847	3431.9572	7037.5816	1975.4093	4488.8573	1786.995	5278.147	7102.2766	9352.7018	8137.0611	9809.041	6447.1379	9678.188	6251.6658	11108.1599	9053.4418	7470.2848	6892.311	7573.5322	8341.2741	6692.343	7752.5166	8726.8838	7724.5646	5286.6502	5958.5357	3440.2379	6184.85	7004.564	8146.2744
PWY-6478	918.8553	1357.8704	182.1131	1357.4428	201.1418	676.703	377.9635	712.712	501.2106	1851.2483	832.721	851.2508	784.0754	660.955	825.7731	466.6097	352.6608	786.0442	171.8238	1366.8885	541.555	1929.2711	511.4136	2127.0366	41.0301	159.0286	1.6324	83.8403	7.4465	0.0	0.0	57.5705	0.0	53.9851	209.1702	5.6693	20.9396	41.5166	0.0	59.9771	15.9552	0.0	44.3177	172.5955	0.0	826.2699	632.148	507.8951
PWY-6507	2893.0735	3271.4453	1272.451	4509.1521	1057.424	4618.9664	2464.389	4656.9127	3071.7979	4018.532	2300.2346	2801.3635	3230.693	5337.2224	3405.1039	2287.2462	2393.3461	2946.1027	1663.8019	2831.2511	2837.4166	6039.5217	3967.1927	3621.7492	557.1831	936.9494	129.2788	607.2479	142.9696	243.2175	427.0579	1071.5477	13.3117	381.5663	228.6525	629.0101	70.517	327.0747	3.9536	379.1801	313.3257	681.2094	147.6063	508.4895	107.8105	1223.517	1247.869	628.8277
PWY-6519	385.2556	1121.1727	231.0642	1014.157	107.81	1520.2885	422.3677	948.4775	554.4807	458.4827	738.656	776.8237	784.5606	1196.053	789.1972	897.7991	65.5306	610.7004	360.6994	999.7217	1044.5987	1059.9733	756.0317	1546.4491	107.8425	560.4815	0.5499	1260.919	0.0	48.3871	0.0	35.3553	35.0886	42.7694	118.4807	56.6562	82.0154	449.0645	8.3719	639.4815	0.0	11.4669	3.849	278.5598	0.0	6736.2166	6.8145	2668.7008
PWY-6545	1493.0167	1196.4452	878.8072	1624.9039	850.995	1131.1577	1459.2472	907.1881	1032.8494	1430.2417	1457.1982	817.4408	1445.3842	1319.4113	1627.373	1232.8119	615.4959	1102.4357	690.0346	1312.6593	1540.7189	2306.9365	2871.9159	1808.6356	1524.8504	1660.6327	212.2615	1259.0833	410.0243	412.1459	380.6584	1191.3367	8.9915	953.9865	316.8087	784.7718	106.7613	364.8529	54.1021	2410.4786	820.9036	1298.7703	25.1232	469.1827	3993.6677	528.7744	954.0148	350.1942
PWY-6562	0.0	0.0	0.0	3.998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.9077	0.0	346.8464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5378	12.9306	0.0	33.177	0.0	0.0	0.0	26.5566	0.0	796.7284	0.0	0.0
PWY-6572	709.8078	1041.9454	458.2844	1993.9854	411.5263	2988.7564	996.3472	2594.6255	1479.8562	1158.7577	655.511	1085.5094	1378.2125	3943.4224	1634.2413	809.2664	990.5232	1327.9699	758.5057	658.0344	1329.0337	3650.3329	2126.2208	1208.7615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.9393	0.0	0.0	0.0	0.0	3.411	9.5372	0.0	0.0	0.0	0.0
PWY-6581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6588	2239.8095	1291.6123	3340.1459	1163.5531	4392.99	1031.8113	5938.6213	482.4244	6048.9124	1783.0571	817.4787	1312.9829	1061.9287	816.477	1518.6687	698.2266	411.2632	1294.8691	4579.951	2644.7531	3776.6385	1959.3908	2062.6482	1941.2697	4477.6841	26.8006	937.4221	11.9806	1570.6643	11.9675	1609.3381	9.3264	140.7492	914.8051	193.0645	9.9792	109.7491	420.9833	5.7879	51.7959	7.9876	88.2492	5146.2271	46.6325	2016.838	543.9966	8138.331	2158.63
PWY-6590	587.5437	242.6715	1644.1124	294.3354	1947.9014	198.9815	2709.3274	106.4923	3019.5283	221.7964	200.7397	227.5537	175.5547	136.9665	414.2856	89.4353	48.7106	306.4659	1998.226	637.2138	2470.7775	559.3593	1902.8809	507.18	429.3162	231.4167	59.9783	205.4657	239.8164	40.6673	59.2591	18.1573	35.3394	332.3306	296.8224	47.7591	14.425	273.428	0.3079	63.3152	8.6401	37.0127	2900.3926	190.516	5269.5088	897.8844	3205.2686	1215.076
PWY-6608	2812.9764	4084.9731	1122.7263	4285.4639	1771.9388	1659.0347	1339.5892	3051.236	1896.3348	4103.9343	2248.5338	3089.0148	2705.8321	1798.8955	2688.7432	1232.3637	1467.652	1994.8268	1617.7831	3850.6899	3362.4759	3185.4868	4510.9999	3527.6781	207.7975	860.2031	24.794	659.0898	170.2092	89.6104	13.992	506.435	27.1706	528.6992	642.1464	143.7105	219.0952	617.9468	29.9946	1621.7401	215.4853	630.3688	3281.6716	555.0353	3270.6905	6555.1341	3651.5891	3889.7754
PWY-6609	8276.7863	8462.1794	5992.5245	7954.9651	8952.7516	7049.3361	9360.5511	7607.472	9695.7496	8138.6459	8061.4317	8117.4289	7166.2367	6645.5159	6791.9095	6234.4313	6758.8803	7425.3611	7675.6524	7421.3558	9345.6517	8204.9756	11203.2342	6757.0693	7158.4322	6322.497	6307.1404	4042.7815	6843.8876	2391.7317	13134.1609	4525.8107	13892.6138	4275.8638	5049.7558	2682.6164	6856.5326	2755.716	5102.5372	2943.9204	4993.9678	5563.0232	18044.3479	2033.4557	13567.0484	6938.918	12503.4051	7693.8549
PWY-6612	4635.3854	5113.3657	4466.8004	5392.4221	6235.6282	5953.8582	6355.8607	5123.4524	6452.3682	4462.014	3466.1498	5439.2252	5073.7354	5595.4742	4578.589	4680.2591	3719.8906	5041.6735	5782.0303	5019.6364	6172.3592	6626.3443	6870.0274	5599.2101	3502.8283	1416.3618	4436.4886	1858.7984	4857.5954	217.9163	7553.7828	202.7466	7936.6498	1658.6816	709.0023	344.5714	1182.5767	982.5528	309.7216	2950.8819	267.6301	585.6663	9594.9564	1079.9354	9906.2449	7066.6368	7262.2389	4020.553
PWY-6628	1399.9164	288.8523	742.9195	738.4515	665.8445	659.2901	347.8286	1277.0734	818.0223	1656.4971	930.8213	139.8192	685.5321	1143.6518	1479.8175	623.6844	730.1987	632.0088	480.7245	274.8354	421.8347	1633.2262	4733.1353	528.734	135.799	659.3738	355.6887	1408.8424	0.0	102.5246	39.7962	252.1419	33.8546	232.3504	329.0634	112.3887	242.1483	787.6617	27.587	1149.0048	166.921	313.1873	16.9755	904.4451	6491.0469	7982.8674	10.9877	3733.6963
PWY-6629	0.0	2.3992	0.0	7.1928	0.0	13.1747	1.1998	4.7965	0.0	10.7843	14.3628	2.3993	16.7625	0.0	8.3898	0.0	0.0	31.0598	0.0	10.4254	15.5648	31.9159	0.0	31.8964	0.0	315.9026	1.1998	149.0699	0.0	29.5741	0.0	5.9799	4.7971	0.0	346.5366	32.0987	276.011	582.1898	31.7065	1134.1275	0.0	25.0178	8.394	75.5363	0.0	1321.857	1.1998	263.8641
PWY-6630	1398.6942	288.7411	742.5268	737.6274	665.66	658.5617	347.6807	1272.8957	817.3331	1653.0317	929.0629	139.8039	685.0102	1141.357	1477.4033	622.8487	729.2269	631.5678	480.4717	274.747	421.6042	1627.4382	4659.6135	527.7683	135.7301	641.9633	355.6492	1376.9504	0.0	102.4989	39.7948	246.283	33.8546	232.0757	328.0322	112.3516	241.3627	764.3515	27.0825	966.9077	166.8438	312.8714	16.9755	903.8289	6242.3793	7199.9121	10.9876	3601.9454
PWY-6660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.4134
PWY-6662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.5351
PWY-6690	0.0	0.2182	0.0	0.6545	0.0	1.4548	0.15	0.4364	0.0	1.0915	1.5158	0.2182	1.5273	0.0	0.7636	0.0	0.0	2.8364	0.0	0.9491	1.9487	3.56	0.0	3.4706	0.0	33.5206	0.15	14.9239	0.0	3.2143	0.0	0.7042	0.6	0.0	43.0909	3.2153	33.8182	121.7782	3.4145	230.1491	0.0	2.2909	1.05	8.5311	0.0	174.7978	0.15	34.6225
PWY-6700	3261.5279	3368.5941	2861.4407	3218.8027	4644.2461	4019.7326	4790.5327	4200.7836	5173.0749	2772.8115	2373.7846	2798.0976	3033.4985	5005.357	2880.4906	2971.9045	2142.2935	2554.7187	4226.4326	3330.7789	4392.7438	5369.7453	5420.6663	4697.9172	3672.2813	1980.7188	2814.4481	1560.3828	3085.6887	581.4859	6271.4957	2009.5107	6228.7437	1298.4483	463.9498	1322.2242	613.1908	613.0985	66.3075	1650.5221	809.9556	1440.2927	8877.0218	872.9394	7915.5002	6566.4375	5388.2221	3309.8417
PWY-6703	2224.3	2222.1446	2266.2611	2801.1056	3920.1602	3447.1062	4215.5794	3417.0135	4471.8419	2300.3917	1804.7496	1930.2472	2500.6798	4271.9931	2427.8588	2103.4626	1641.6212	2223.7292	3496.9127	2397.1059	3622.9084	4947.0868	3981.582	4177.66	2876.6283	1313.7377	2360.4512	1170.1781	2662.6919	387.2147	6154.2945	1469.0179	6139.7126	923.0078	284.6398	919.5981	251.6132	431.6513	33.8389	1438.3527	535.3475	945.8923	8334.7104	645.8503	6526.6861	4956.9002	4514.322	1944.0266
PWY-6708	296.687	353.7007	48.6389	332.2398	6.2083	224.0391	95.6725	65.7699	130.1036	160.6092	100.9242	49.8152	69.2696	76.5885	371.5571	128.5649	57.7087	197.053	32.8886	25.7565	89.9299	323.4595	97.9608	88.745	35.8638	158.6061	0.2416	338.1114	0.0	12.7224	0.0	6.2805	9.6724	7.3931	79.9987	12.992	62.7363	277.1113	6.7834	545.8247	0.0	4.5889	1.7233	126.7201	0.0	3874.4875	30.3554	1959.0166
PWY-6713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.1345
PWY-6728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.9066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2745	0.0	14.7224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6737	9161.7868	7894.6941	8347.6018	7793.5757	7977.9001	7764.2971	5967.8865	7280.7376	6299.8469	8242.6748	7116.1132	8650.6552	8730.3966	7890.4631	8913.6283	7103.4345	6958.9801	7573.5262	7264.7312	8343.5794	6632.6803	9560.4079	7414.6809	7863.014	1622.6076	3032.751	7902.8801	4018.8753	6656.7673	5803.2965	980.4397	2318.3856	48.0057	4483.9921	1260.4245	8317.8852	647.3997	1075.6167	68.4364	2619.6015	5722.0016	7088.062	3102.9421	11135.7347	5269.3356	5416.3782	6175.8222	5205.0566
PWY-6749	321.684	446.0867	47.1944	268.9712	51.6332	168.9802	292.5957	272.1029	256.7951	1118.9812	535.5617	373.4712	297.3782	254.3966	262.4603	223.4832	232.9241	327.5123	111.1887	407.6277	292.1983	409.7122	145.9989	446.5748	47.1192	89.4011	5.6583	7.3366	3.9992	11.9895	11.3327	19.9658	5.3385	12.3114	205.424	29.9401	59.757	233.9865	2.6595	27.292	66.4042	113.1756	24.9715	24.9643	0.0	253.7466	210.2698	629.9645
PWY-6876	0.9999	0.0	190.5949	5.6571	416.2388	13.3233	0.0	0.6599	85.9	20.9668	2.999	23.6226	0.0	6.9936	0.0	7.3346	1.3398	0.0	684.003	206.1807	776.0748	18.3098	2062.6482	13.98	3.9985	26.8006	7.9672	11.9806	70.4728	11.9675	0.0	9.3264	5.875	137.0257	1.9991	9.9792	5.9824	11.9649	0.0	3.3337	0.0	0.0	1398.7305	42.6457	2016.838	283.54	296.7891	763.2051
PWY-6891	493.8369	356.9454	1734.3871	323.9946	3691.7156	293.9725	3238.9755	87.3781	3389.8048	237.4755	214.3297	197.3059	303.1328	494.6368	360.2492	359.8637	159.4577	236.6108	2785.25	359.8507	1781.3876	681.5402	1986.7146	749.6062	2581.5295	95.4199	2741.338	31.271	3006.7909	5.951	6642.4108	32.0403	6960.5347	458.8281	93.1501	27.6914	60.719	292.6578	6.9358	439.865	8.3339	33.4104	8793.8449	82.5683	6925.0883	297.9328	4617.7245	203.4701
PWY-6892	4489.3866	3378.4251	2635.7684	3543.4692	3152.4301	4396.8656	4804.4275	4003.8746	5354.6019	3125.4112	2422.661	3135.7769	3114.767	5169.7259	3157.6364	3190.3111	2162.1226	3093.4687	3612.6063	2617.558	4011.1319	4932.3175	5449.9993	4061.843	2354.5731	1608.9707	316.3017	1115.3402	587.9295	444.6879	950.7846	1555.9273	198.922	760.4221	300.8131	1036.2624	208.7202	565.4522	59.6431	822.2633	581.31	1420.7969	2588.9341	803.7339	6781.1348	1942.2101	3568.5892	1965.9148
PWY-6895	1677.2272	1412.412	1569.9524	1305.4344	1917.8409	1225.1579	3053.4435	410.8038	3168.3723	959.4024	818.2837	845.5108	1194.1252	1861.3565	1313.0748	1383.9289	645.1013	972.4495	2713.2773	1379.8871	3485.355	2449.171	3559.3107	2554.6247	802.9875	368.1029	344.0765	142.6501	239.8351	28.0884	845.6632	147.8647	15.4061	503.5177	141.0572	125.7876	138.909	428.4961	22.4558	1038.033	38.2353	145.6196	216.694	303.8535	2902.4422	1171.1912	484.6858	775.1676
PWY-6897	6123.4363	5345.4997	6209.3895	5436.2605	7436.2216	5959.2944	5111.5231	5496.3882	5662.8322	4128.1987	3212.0239	4859.6658	4868.7476	5937.8247	5707.8441	4898.6596	3720.227	4452.8669	6368.5683	4776.5955	4723.8608	6824.0215	5366.1298	6293.2087	3021.4544	1891.0499	7092.9878	2730.6131	6541.6988	3312.8597	6833.7226	1607.4481	7070.9803	2862.939	1881.254	5009.4626	1058.7309	845.378	1586.148	1771.3484	3716.0417	4063.3652	9195.8732	7549.1826	8477.728	5049.4102	6235.9674	2606.5916
PWY-6901	2787.2076	3931.8817	7510.6851	4654.0492	7307.5914	5543.1845	3649.7976	4793.2683	4488.9401	3425.6045	3861.3638	4094.3552	5809.1882	5362.6302	6648.3347	4772.9574	5580.2652	4096.3923	6709.4114	4280.0688	4404.0005	6278.5655	4891.8893	4436.0891	596.9643	673.9103	8174.8038	3488.9608	7226.8637	5149.1242	31.7451	483.4431	66.2465	4226.878	453.499	6638.3926	548.808	863.8139	24.8287	1763.2447	5337.0198	5859.3916	953.388	7329.6044	39.7944	2827.9109	848.5284	3084.5508
PWY-6906	0.0	0.0	0.0	0.0	0.0	2.6177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2467	11.2685	0.0	5.7062	0.0	40.0586	0.0	19.4379	0.0	6.1729	0.0	1.235	0.0	0.0	4.8548	6.5668	0.0	0.0	0.0	20.412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.2325
PWY-6944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.7632	0.0	12.4951	0.0	0.0	0.0	5.0784	0.0	350.6637	0.0	539.9892
PWY-6969	4131.7471	4820.2078	5126.9064	5867.7478	7512.8649	6573.1263	6885.8931	5815.9893	7169.9327	4759.3989	3491.2117	5038.446	5850.9905	7019.7029	5550.254	5031.7163	3910.7005	4910.1319	6834.5093	5324.4993	6129.1636	8325.8533	5479.1685	6910.745	4149.835	1325.6868	5563.8747	2343.3361	5677.2066	1350.9917	9550.635	794.2251	9651.143	2023.9064	316.6478	2994.7096	316.1744	602.2813	52.5599	1556.6046	1246.9014	2449.3944	12691.0046	2391.3837	7844.698	6639.548	7386.8552	2936.2107
PWY-6992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.9937	0.0	6.8894	0.0	4.9985	0.0	3.6367	0.0	6.6646	0.0	4.1657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7003	1749.8375	2337.0966	2893.3479	1630.9032	3573.4183	878.2477	3504.4061	1080.3516	4352.9858	986.2625	1763.8293	558.3066	1778.4858	629.6119	1875.5828	1168.2479	1023.1618	1459.934	3806.8566	168.8761	4603.804	1268.4389	1820.0974	303.7598	870.6358	27.7668	1016.5906	35.5003	1919.584	11.8604	1571.3705	4.0143	386.5659	1498.1412	523.0863	0.0	311.0599	829.3228	17.3125	149.748	23.8567	250.0101	5926.3784	127.7225	176.1205	1264.2434	5160.4369	2910.5948
